Dates,Mean,High,Low
2020-03-01,0.0,0,0
2020-03-02,2.1720027416576144,3,1
2020-03-03,4.7222429383084705,6,3
2020-03-04,7.711012405721766,9,4
2020-03-05,11.205051637256467,13,6
2020-03-06,15.273130865294306,17,8
2020-03-07,19.996650304060836,22,11
2020-03-08,25.45321722738912,27,14
2020-03-09,31.72469207293419,33,18
2020-03-10,38.89666952843169,40,23
2020-03-11,47.037183818204845,47,28
2020-03-12,56.21456867690769,56,35
2020-03-13,66.47331566055075,65,43
2020-03-14,77.83136702771182,75,51
2020-03-15,90.28981109027094,87,62
2020-03-16,103.79524708371898,100,73
2020-03-17,118.26776464776593,113,86
2020-03-18,133.58519891691046,128,100
2020-03-19,149.58252663973593,144,115
2020-03-20,166.07110293412683,161,132
2020-03-21,182.83371381432286,179,150
2020-03-22,199.64641397300167,197,170
2020-03-23,216.28521001292847,215,191
2020-03-24,232.54312804230076,232,213
2020-03-25,248.2335693109701,248,236
2020-03-26,263.2032145730959,263,261
2020-03-27,277.3370379173006,288,277
2020-03-28,290.54469046853285,315,290
2020-03-29,302.7850872556869,344,301
2020-03-30,314.03716553149684,375,312
2020-03-31,324.30567408660977,406,321
2020-04-01,333.62335020587443,438,329
2020-04-02,342.02651333725925,471,336
2020-04-03,349.57240763467297,503,342
2020-04-04,356.3209308533706,536,347
2020-04-05,362.3305049574903,570,352
2020-04-06,367.67001255638013,604,356
2020-04-07,372.3986008020672,632,359
2020-04-08,376.5769490977038,662,362
2020-04-09,380.26342101175544,693,365
2020-04-10,383.5068997920485,726,367
2020-04-11,386.3592766162061,754,369
2020-04-12,388.86357799517606,780,371
2020-04-13,391.05909335581543,804,372
2020-04-14,392.9834868496854,825,373
2020-04-15,394.66737659517304,848,374
2020-04-16,396.14062705725024,869,375
2020-04-17,397.4289280987547,887,376
2020-04-18,398.5539512075839,905,376
2020-04-19,399.53694531453954,921,377
2020-04-20,400.39492876598416,936,377
2020-04-21,401.1436175648708,949,377
2020-04-22,401.79708150212446,962,378
2020-04-23,402.3666527563363,973,378
2020-04-24,402.86351379517225,984,378
2020-04-25,403.29671006879266,996,378
2020-04-26,403.67418646265895,1006,378
2020-04-27,404.0033242433997,1016,378
2020-04-28,404.2900233967342,1026,378
2020-04-29,404.5398693521035,1034,378
2020-04-30,404.7576107354861,1042,379
2020-05-01,404.94718675398445,1049,379
2020-05-02,405.11240593808304,1056,379
2020-05-03,405.2562943567367,1063,379
2020-05-04,405.3816074147081,1068,379
2020-05-05,405.490798566079,1074,379
2020-05-06,405.5858335870331,1079,379
2020-05-07,405.6686297942413,1084,379
2020-05-08,405.74073865163393,1088,379
2020-05-09,405.8035105943947,1092,379
2020-05-10,405.8581985705119,1096,379
2020-05-11,405.90580135129,1100,379
2020-05-12,405.94725802233194,1104,379
2020-05-13,405.98336850369986,1107,379
2020-05-14,406.0147922048293,1111,379
2020-05-15,406.04216722948104,1112,379
2020-05-16,406.06599980487164,1114,379
2020-05-17,406.08674869907753,1116,379
2020-05-18,406.1048232529875,1118,379
2020-05-19,406.12055106499156,1120,379
2020-05-20,406.1342502810252,1122,379
2020-05-21,406.1461792841814,1124,379
2020-05-22,406.15656181218304,1126,379
2020-05-23,406.16560601899835,1127,379
2020-05-24,406.1734777055132,1129,379
2020-05-25,406.18033220106855,1130,379
2020-05-26,406.18630233508736,1132,379
2020-05-27,406.1914970819657,1133,379
2020-05-28,406.196022225986,1134,379
2020-05-29,406.1999616416814,1135,379
2020-05-30,406.2033910870814,1135,379
2020-05-31,406.20637837747455,1135,379
2020-06-01,406.20897775790803,1135,379
2020-06-02,406.2112417408925,1136,379
2020-06-03,406.21321315379197,1136,379
2020-06-04,406.2149289112905,1136,379
2020-06-05,406.2164234735461,1136,379
2020-06-06,406.21772427688563,1136,379
2020-06-07,406.21885694492835,1137,379
2020-06-08,406.2198434827833,1137,379
2020-06-09,406.220701861701,1137,379
2020-06-10,406.2214495880683,1137,379
2020-06-11,406.2221005367631,1138,379
2020-06-12,406.22266720102687,1139,379
2020-06-13,406.22316080275795,1139,379
2020-06-14,406.2235903145901,1140,379
2020-06-15,406.22396439655057,1140,379
2020-06-16,406.2242901417614,1141,379
2020-06-17,406.22457363660664,1141,379
2020-06-18,406.2248205827186,1142,379
2020-06-19,406.22503551781307,1142,379
2020-06-20,406.2252226669602,1143,379
2020-06-21,406.2253856742025,1143,379
2020-06-22,406.2255275021794,1143,379
2020-06-23,406.2256510472137,1144,379
2020-06-24,406.2257586039478,1144,379
2020-06-25,406.2258522321684,1144,379
2020-06-26,406.2259337884889,1145,379
2020-06-27,406.22600475680696,1145,379
2020-06-28,406.22606656506656,1145,379
2020-06-29,406.22612038788304,1145,379
2020-06-30,406.22616722864205,1146,379
2020-07-01,406.22620803062074,1146,379
2020-07-02,406.22624354425017,1146,379
2020-07-03,406.2262744661465,1146,379
2020-07-04,406.2263013997217,1147,379
2020-07-05,406.2263248333488,1147,379
2020-07-06,406.2263452461831,1147,379
2020-07-07,406.2263630176986,1147,379
2020-07-08,406.2263784874823,1147,379
2020-07-09,406.2263919626924,1147,379
2020-07-10,406.2264036887294,1147,379
2020-07-11,406.2264139010389,1148,379
2020-07-12,406.2264227941312,1148,379
2020-07-13,406.2264305334179,1148,379
2020-07-14,406.226437274952,1148,379
2020-07-15,406.2264431428352,1148,379
2020-07-16,406.2264482519215,1148,379
2020-07-17,406.2264527021274,1148,379
2020-07-18,406.226456573957,1148,379
2020-07-19,406.2264599466791,1148,379
2020-07-20,406.2264628830482,1148,379
2020-07-21,406.22646543904995,1149,379
2020-07-22,406.2264676655,1149,379
2020-07-23,406.2264696029814,1149,379
2020-07-24,406.2264712903155,1149,379
2020-07-25,406.2264727597113,1149,379
2020-07-26,406.2264740384379,1149,379
2020-07-27,406.2264751523117,1149,379
2020-07-28,406.22647612185597,1149,379
