"time","cum_confirm","deaths","daily_confirm"
"2020-01-02",3,0,3
"2020-01-03",4,0,1
"2020-01-04",4,0,0
"2020-01-05",5,0,1
"2020-01-06",5,0,0
"2020-01-07",6,0,1
"2020-01-08",6,0,0
"2020-01-09",6,0,0
"2020-01-10",7,0,1
"2020-01-11",8,0,1
"2020-01-12",8,0,0
"2020-01-13",10,0,2
"2020-01-14",10,0,0
"2020-01-15",17,0,7
"2020-01-16",17,0,0
"2020-01-17",17,0,0
"2020-01-18",18,0,1
"2020-01-19",19,0,1
"2020-01-20",20,0,1
"2020-01-21",20,0,0
"2020-01-22",20,0,0
"2020-01-23",21,0,1
"2020-01-24",21,0,0
"2020-01-25",22,0,1
"2020-01-26",25,0,3
"2020-01-27",28,0,3
"2020-01-28",29,0,1
"2020-01-29",29,0,0
"2020-01-30",30,0,1
"2020-01-31",31,0,1
"2020-02-01",39,0,8
"2020-02-02",41,0,2
"2020-02-03",43,0,2
"2020-02-04",45,0,2
"2020-02-05",47,0,2
"2020-02-06",51,0,4
"2020-02-07",54,0,3
"2020-02-08",56,0,2
"2020-02-09",58,0,2
"2020-02-10",63,0,5
"2020-02-11",64,0,1
"2020-02-12",66,0,2
"2020-02-13",68,0,2
"2020-02-14",74,0,6
"2020-02-15",82,0,8
"2020-02-16",87,0,5
"2020-02-17",90,0,3
"2020-02-18",91,0,1
"2020-02-19",94,0,3
"2020-02-20",104,0,10
"2020-02-21",111,0,7
"2020-02-22",112,0,1
"2020-02-23",116,0,4
"2020-02-24",120,0,4
"2020-02-25",127,0,7
"2020-02-26",132,0,5
"2020-02-27",135,0,3
"2020-02-28",147,0,12
"2020-02-29",159,1,12
"2020-03-01",199,1,40
"2020-03-02",214,1,15
"2020-03-03",230,2,16
"2020-03-04",245,1,15
"2020-03-05",259,3,14
"2020-03-06",294,1,35
"2020-03-07",329,0,35
"2020-03-08",367,2,38
"2020-03-09",428,3,61
"2020-03-10",508,3,80
"2020-03-11",585,4,77
"2020-03-12",679,4,94
"2020-03-13",830,5,151
"2020-03-14",971,6,141
"2020-03-15",1158,6,187
"2020-03-16",1417,15,259
"2020-03-17",1703,16,286
"2020-03-18",1943,15,240
"2020-03-19",2148,8,205
"2020-03-20",2450,25,302
"2020-03-21",2685,12,235
"2020-03-22",2902,19,217
"2020-03-23",3244,25,342
"2020-03-24",3521,18,277
"2020-03-25",3820,24,299
"2020-03-26",4116,35,296
"2020-03-27",4463,23,347
"2020-03-28",4794,38,331
"2020-03-29",5061,30,267
"2020-03-30",5425,38,364
"2020-03-31",5726,30,301
"2020-04-01",6113,34,387
"2020-04-02",6428,32,315
"2020-04-03",6813,43,385
"2020-04-04",7090,28,277
"2020-04-05",7352,46,262
"2020-04-06",7741,45,389
"2020-04-07",8091,51,350
"2020-04-08",8418,31,327
"2020-04-09",8769,50,351
"2020-04-10",9142,53,373
"2020-04-11",9503,44,361
"2020-04-12",9919,48,416
"2020-04-13",10424,67,505
"2020-04-14",10986,61,562
"2020-04-15",11560,69,574
"2020-04-16",13728,75,2168
"2020-04-17",15412,46,1684
"2020-04-18",15886,39,474
"2020-04-19",16223,50,337
"2020-04-20",16759,53,536
"2020-04-21",17286,53,527
"2020-04-22",17834,59,548
"2020-04-23",18337,49,503
"2020-04-24",18875,40,538
"2020-04-25",19317,34,442
"2020-04-26",19715,34,398
"2020-04-27",20393,68,678
"2020-04-28",21128,68,735
"2020-04-29",21940,47,812
"2020-04-30",22518,34,578
"2020-05-01",23122,41,604
"2020-05-02",23656,36,534
"2020-05-03",24011,24,355
"2020-05-04",24612,43,601
"2020-05-05",25356,43,744
"2020-05-06",25979,43,623
"2020-05-07",26537,34,558
"2020-05-08",27193,34,656
"2020-05-09",27532,15,339
"2020-05-10",27886,20,354
"2020-05-11",28536,37,650
"2020-05-12",29076,36,540
"2020-05-13",29669,36,593
"2020-05-14",30299,55,630
"2020-05-15",30887,38,588
"2020-05-16",31294,23,407
"2020-05-17",31685,17,391
"2020-05-18",32406,33,721
"2020-05-19",33021,30,615
"2020-05-20",33635,26,614
"2020-05-21",34130,24,495
"2020-05-22",34692,21,562
"2020-05-23",35015,18,323
"2020-05-24",35309,18,294
"2020-05-25",35682,19,373
"2020-05-26",36224,17,542
"2020-05-27",36725,27,501
"2020-05-28",37183,17,458
"2020-05-29",37582,12,399
"2020-05-30",37898,13,316
"2020-05-31",38127,11,229
"2020-06-01",38558,14,431
"2020-06-02",39014,10,456
"2020-06-03",39385,7,371
"2020-06-04",39743,10,358
"2020-06-05",40144,15,401
"2020-06-06",40441,9,297
"2020-06-07",40671,4,230
"2020-06-08",41082,8,411
"2020-06-09",41492,12,410
"2020-06-10",41881,8,389
"2020-06-11",42278,9,397
"2020-06-12",42754,9,476
"2020-06-13",43308,5,554
"2020-06-14",43650,2,342
"2020-06-15",44286,9,636
"2020-06-16",44918,9,632
"2020-06-17",45541,2,623
"2020-06-18",46163,5,622
"2020-06-19",46805,7,642
"2020-06-20",47343,4,538
"2020-06-21",47820,3,477
"2020-06-22",48820,5,1000
"2020-06-23",49741,6,921
"2020-06-24",50649,5,908
"2020-06-25",51478,3,829
"2020-06-26",52266,0,788
"2020-06-27",52819,0,553
"2020-06-28",53322,2,503
"2020-06-29",54267,1,945
"2020-06-30",55273,1,1006
"2020-07-01",56132,0,859
"2020-07-02",56706,1,574
"2020-07-03",57000,0,294
"2020-07-04",57151,0,151
